display_name,family,variant,seed,experiment,target_column,feature_bundle,best_epoch,best_val_task_loss,test_r2,test_baseline_persistence_r2,test_baseline_panel_ols_r2,test_baseline_grouped_ardl_r2,test_baseline_best_simple_r2,test_r2_delta_vs_persistence,test_r2_delta_vs_panel_ols,test_r2_delta_vs_grouped_ardl,test_mae,test_mse
Uniform Lag,ablation,uniform_lag,13,economics_ablation_uniform_lag_seed13,ctfp,effective_labor_aware,24,2.6846749782562256,0.07726384974335941,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8595693524866349,0.05625829246525252,0.16637081269142262,1.4763922025497365,3.705950971581741
CMDL,cmdl,,6,economics_cmdl_seed6,ctfp,effective_labor_aware,21,2.614319324493408,0.07535464313675377,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8614785590932406,0.05434908585864688,0.164461606084817,1.4893242950683667,3.7124843372273237
CMDL,cmdl,,1,economics_cmdl_seed1,ctfp,effective_labor_aware,24,2.4432642459869385,0.07521488532355156,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8616183169064427,0.05420932804544466,0.16432184827161478,1.4749374895740401,3.7216852871010038
Plain LSTM,plain_lstm,,0,economics_lstm_seed0,ctfp,effective_labor_aware,18,2.6137821674346924,0.07498398275369292,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8618492194763014,0.053978425475586025,0.16409094570175614,1.4715504183227743,3.7163994975799812
No AC Encoder,ablation,no_ac_encoder,17,economics_ablation_no_ac_encoder_seed17,ctfp,effective_labor_aware,25,2.476583957672119,0.07402925825470795,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8628039439752864,0.05302370097660106,0.16313622120277116,1.4700679412371094,3.722930990306179
No AC Encoder,ablation,no_ac_encoder,14,economics_ablation_no_ac_encoder_seed14,ctfp,effective_labor_aware,22,2.3482446670532227,0.07383442526760312,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8629987769623912,0.05282886798949622,0.16294138821566634,1.4723438575318637,3.7290313032207036
Plain LSTM,plain_lstm,,9,economics_lstm_seed9,ctfp,effective_labor_aware,24,2.6712074279785156,0.07378000935992254,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8630531928700718,0.05277445208181565,0.16288697230798577,1.4903341983450447,3.7181348681725876
No Recon Regularization,ablation,no_recon_regularization,2,economics_ablation_no_recon_regularization_seed2,ctfp,effective_labor_aware,25,2.5848915576934814,0.072683197449128,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8641500047808663,0.05167764017102111,0.16179016039719124,1.4714740947899785,3.7244372416515916
No AC Encoder,ablation,no_ac_encoder,19,economics_ablation_no_ac_encoder_seed19,ctfp,effective_labor_aware,15,2.411642551422119,0.0725069924857771,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8643262097442173,0.05150143520767021,0.16161395543384033,1.4749337600105057,3.7312251340384055
No Recon Regularization,ablation,no_recon_regularization,1,economics_ablation_no_recon_regularization_seed1,ctfp,effective_labor_aware,25,2.4471611976623535,0.07236457466199217,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8644686275680021,0.05135901738388528,0.1614715376100554,1.473243088428138,3.7321654030877944
CMDL,cmdl,,4,economics_cmdl_seed4,ctfp,effective_labor_aware,27,2.473327398300171,0.07102757820089767,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8658056240290967,0.050022020922790775,0.1601345411489609,1.4694784657908133,3.734916643133309
No AC Encoder,ablation,no_ac_encoder,6,economics_ablation_no_ac_encoder_seed6,ctfp,effective_labor_aware,21,2.5068728923797607,0.07059181560064778,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8662413866293466,0.04958625832254089,0.159698778548711,1.4634742933489675,3.7291226534798905
