display_name,family,variant,seed,experiment,target_column,feature_bundle,lag_method,anchor_proxy_name,anchor_expected_sign,proxy_refit_status,proxy_metric_interpretable,test_effective_kstar_proxy_spearman_rho,test_effective_kstar_proxy_spearman_adjusted_rho,test_effective_kstar_proxy_mean_spearman_rho,test_effective_kstar_proxy_mean_spearman_adjusted_rho,test_effective_kstar_proxy_metric_valid,test_effective_kstar_mean,test_effective_kstar_std,test_effective_lag_entropy_mean,test_effective_lag_entropy_std,test_effective_lag_top1_share,test_z_std,test_z_proxy_spearman_adjusted_rho,test_z_anchor_adjusted_rho,test_omega_entropy_penalty,test_omega_entropy_band_violation_share,test_z_anchor_loss,test_lag_gate_sensitivity_slope,test_lag_gate_sensitivity_range,test_proxy_signal_r2,test_proxy_signal_metric_valid,omega_transform,lambda_omega_entropy,omega_entropy_min,omega_entropy_max,lambda_z_anchor,z_anchor_target_sign
Plain LSTM,plain_lstm,,10,energy_lstm_seed10,co2_per_unit_energy,minimal,lag_occlusion,proxy_government_effectiveness,-1.0,,,-0.15231421457461333,0.15231421457461333,-0.14034956141018956,0.14034956141018956,True,4.823402404785156,1.1700714861948782,2.0386652399505523,0.5234413150757123,0.5641025641025641,,,,,,,,,,,softmax,0.0,,,0.0,1.0
Plain LSTM,plain_lstm,,9,energy_lstm_seed9,co2_per_unit_energy,minimal,lag_occlusion,proxy_government_effectiveness,-1.0,,,-0.20177694566064744,0.20177694566064744,-0.2042241937021134,0.2042241937021134,True,5.207713603973389,1.7260084195247252,1.911356379551242,0.6313718179601725,0.5769230769230769,,,,,,,,,,,softmax,0.0,,,0.0,1.0
Plain LSTM,plain_lstm,,11,energy_lstm_seed11,co2_per_unit_energy,minimal,lag_occlusion,proxy_government_effectiveness,-1.0,,,-0.20233539672058626,0.20233539672058626,-0.20123811792310273,0.20123811792310273,True,5.55842399597168,1.2867502256149312,2.07018908183748,0.5096459815422798,0.6410256410256411,,,,,,,,,,,softmax,0.0,,,0.0,1.0
Plain LSTM,plain_lstm,,1,energy_lstm_seed1,co2_per_unit_energy,minimal,lag_occlusion,proxy_government_effectiveness,-1.0,,,-0.2063126277108422,0.2063126277108422,-0.20170300279636233,0.20170300279636233,True,5.6290812492370605,1.611143799778682,1.9859515826615353,0.646846507438553,0.6410256410256411,,,,,,,,,,,softmax,0.0,,,0.0,1.0
Plain LSTM,plain_lstm,,19,energy_lstm_seed19,co2_per_unit_energy,minimal,lag_occlusion,proxy_government_effectiveness,-1.0,,,-0.25577447753943977,0.25577447753943977,-0.25158971105341343,0.25158971105341343,True,5.12812614440918,1.3442199652160929,2.0002716094551176,0.5617264163525555,0.38461538461538464,,,,,,,,,,,softmax,0.0,,,0.0,1.0
Plain LSTM,plain_lstm,,12,energy_lstm_seed12,co2_per_unit_energy,minimal,lag_occlusion,proxy_government_effectiveness,-1.0,,,-0.3618419141339287,0.3618419141339287,-0.3513021515887467,0.3513021515887467,True,5.648020267486572,1.6202249040758316,1.987911199768703,0.5890525769574194,0.6153846153846154,,,,,,,,,,,softmax,0.0,,,0.0,1.0
No Recon Regularization,ablation,no_recon_regularization,0,energy_ablation_no_recon_regularization_seed0,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,applied_ols,True,-0.644153315039391,0.644153315039391,-0.6631722707672075,0.6631722707672075,True,4.731955528259277,0.061844869659410606,1.8864008463434128,0.0040925607450883715,0.7692307692307693,0.09560143233261181,-0.644153315039391,-0.644153315039391,0.0,0.0,0.0,-0.6513478040948547,0.18298053741455078,0.46498785396579906,True,softmax,0.0,,,0.0,1.0
CMDL,cmdl,,0,energy_cmdl_seed0,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,applied_ols,True,-0.644153315039391,0.644153315039391,-0.6631722707672075,0.6631722707672075,True,4.731987953186035,0.06183773333426115,1.8864024508542627,0.0040931435253784045,0.7692307692307693,0.09559412891834672,-0.644153315039391,-0.644153315039391,0.0,0.0,0.0,-0.6513238374380373,0.18296337127685547,0.4649512223617757,True,softmax,0.0,,,0.0,1.0
CMDL,cmdl,,17,energy_cmdl_seed17,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,applied_ols,True,-0.8256427117186611,0.8256427117186611,-0.7964567078491128,0.7964567078491128,True,4.088529109954834,0.10351145765817647,1.87492656695892,0.023937786194733395,1.0,0.06907722473008777,0.8256427117186611,0.8256427117186611,0.0,0.0,0.0,1.4977087075991264,0.2608072757720947,0.7567637189605506,True,softmax,0.0,,,0.0,1.0
No Recon Regularization,ablation,no_recon_regularization,17,energy_ablation_no_recon_regularization_seed17,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,applied_ols,True,-0.8256427117186611,0.8256427117186611,-0.7964567078491128,0.7964567078491128,True,4.088515758514404,0.10351075457335361,1.8749252374103638,0.023937854888485526,1.0,0.06907701241313725,0.8256427117186611,0.8256427117186611,0.0,0.0,0.0,1.497704443003937,0.2608067989349365,0.756752431830165,True,softmax,0.0,,,0.0,1.0
No Recon Regularization,ablation,no_recon_regularization,3,energy_ablation_no_recon_regularization_seed3,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,applied_ols,True,-0.8290875522589648,0.8290875522589648,-0.8339181952277568,0.8339181952277568,True,5.190019130706787,0.0020139427500534906,1.6676443635591898,0.016895966323600086,1.0,0.19824804170359162,-0.7063948709518328,-0.7063948709518328,0.0,0.0,0.0,-0.0067379727858847376,0.005110263824462891,0.6489197284430169,True,softmax,0.0,,,0.0,1.0
CMDL,cmdl,,3,energy_cmdl_seed3,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,applied_ols,True,-0.8291887175567406,0.8291887175567406,-0.8340193605255326,0.8340193605255326,True,5.1899919509887695,0.002011715883480028,1.6676367708125635,0.016893380832588182,1.0,0.1982296742503989,-0.7063948709518328,-0.7063948709518328,0.0,0.0,0.0,-0.006726569454684764,0.005105495452880859,0.6489265262223944,True,softmax,0.0,,,0.0,1.0
