workbook_row_index,observed_block_code,global_year,global_county,ti__unnamed_1561_level_1,ti__unnamed_1562_level_1,ti__unnamed_1563_level_1,ti__unnamed_1564_level_1,ti__unnamed_1565_level_1,ti__unnamed_1566_level_1
396,TI,2006.0,SE213 Kalmar,,,,,,
397,TI,2006.0,SE213 Kalmar,,,,,,
398,TI,2006.0,SE213 Kalmar,,,,,,
399,TI,2006.0,SE213 Kalmar,,,,,,
400,TI,2006.0,SE213 Kalmar,,,,,,
401,TI,2006.0,SE213 Kalmar,,,,,,
402,TI,2006.0,SE213 Kalmar,,,,,,
403,TI,2006.0,SE213 Kalmar,,,,,,
404,TI,2006.0,SE213 Kalmar,,,,,,
405,TI,2006.0,SE213 Kalmar,,,,,,
406,TI,2006.0,SE213 Kalmar,,,,,,
407,TI,2006.0,SE213 Kalmar,,,,,,
408,TI,2006.0,SE213 Kalmar,,,,,,
409,TI,2006.0,SE213 Kalmar,,,,,,
410,TI,2006.0,SE213 Kalmar,,,,,,
411,TI,2006.0,SE213 Kalmar,,,,,,
412,TI,2006.0,SE213 Kalmar,,,,,,
413,TI,2006.0,SE213 Kalmar,,,,,,
414,TI,2006.0,SE213 Kalmar,,,,,,
415,TI,2006.0,SE213 Kalmar,,,,,,
416,TI,2006.0,SE213 Kalmar,,,,,,
417,TI,2006.0,SE213 Kalmar,,,,,,
418,TI,2006.0,SE213 Kalmar,,,,,,
419,TI,2006.0,SE213 Kalmar,,,,,,
420,TI,2006.0,SE213 Kalmar,,,,,,
421,TI,2006.0,SE213 Kalmar,,,,,,
422,TI,2006.0,SE213 Kalmar,,,,,,
423,TI,2006.0,SE213 Kalmar,,,,,,
424,TI,2006.0,SE213 Kalmar,,,,,,
425,TI,2006.0,SE213 Kalmar,,,,,,
426,TI,2006.0,SE213 Kalmar,,,,,,
427,TI,2006.0,SE213 Kalmar,,,,,,
428,TI,2006.0,SE213 Kalmar,,,,,,
429,TI,2006.0,SE213 Kalmar,,,,,,
430,TI,2006.0,SE213 Kalmar,,,,,,
431,TI,2006.0,SE213 Kalmar,,,,,,
432,TI,2006.0,SE213 Kalmar,,,,,,
433,TI,2006.0,SE213 Kalmar,,,,,,
434,TI,2006.0,SE213 Kalmar,,,,,,
435,TI,2006.0,SE213 Kalmar,,,,,,
436,TI,2006.0,SE213 Kalmar,,,,,,
437,TI,2006.0,SE213 Kalmar,,,,,,
438,TI,2006.0,SE213 Kalmar,,,,,,
439,TI,2006.0,SE213 Kalmar,,,,,,
440,TI,2006.0,SE213 Kalmar,,,,,,
441,TI,2006.0,SE213 Kalmar,,,,,,
442,TI,2006.0,SE213 Kalmar,,,,,,
443,TI,2006.0,SE213 Kalmar,,,,,,
444,TI,2006.0,SE213 Kalmar,,,,,,
445,TI,2006.0,SE213 Kalmar,,,,,,
446,TI,2006.0,SE213 Kalmar,,,,,,
447,TI,2006.0,SE213 Kalmar,,,,,,
448,TI,2006.0,SE213 Kalmar,,,,,,
449,TI,2006.0,SE213 Kalmar,,,,,,
450,TI,2006.0,SE213 Kalmar,,,,,,
451,TI,2006.0,SE213 Kalmar,,,,,,
452,TI,2006.0,SE213 Kalmar,,,,,,
453,TI,2006.0,SE213 Kalmar,,,,,,
454,TI,2006.0,SE213 Kalmar,,,,,,
455,TI,2006.0,SE213 Kalmar,,,,,,
456,TI,2006.0,SE213 Kalmar,,,,,,
457,TI,2006.0,SE213 Kalmar,,,,,,
458,TI,2006.0,SE213 Kalmar,,,,,,
459,TI,2006.0,SE213 Kalmar,,,,,,
460,TI,2006.0,SE213 Kalmar,,,,,,
461,TI,2006.0,SE213 Kalmar,,,,,,
462,TI,2006.0,SE213 Kalmar,,,,,,
463,TI,2006.0,SE213 Kalmar,,,,,,
464,TI,2006.0,SE213 Kalmar,,,,,,
465,TI,2006.0,SE213 Kalmar,,,,,,
466,TI,2006.0,SE213 Kalmar,,,,,,
467,TI,2006.0,SE213 Kalmar,,,,,,
468,TI,2006.0,SE213 Kalmar,,,,,,
