workbook_row_index,observed_block_code,global_year,global_county,prid__swedish_monetary_financial_institutions_updated_10_january_2025,prid__unnamed_1464_level_1,prid__unnamed_1465_level_1,prid__unnamed_1466_level_1,prid__unnamed_1467_level_1,prid__unnamed_1468_level_1,prid__unnamed_1469_level_1,prid__unnamed_1470_level_1,prid__unnamed_1471_level_1
71,PRID,2006.0,SE122 Södermanland,12358,533200-5189,5493002H4QWUPXXG5A34,Bank,Lönneberga-Tuna-Vena Sparbank,Tunavägen 2,,577 90,Vena
72,PRID,2006.0,SE122 Södermanland,35506,556585-1267,549300GIWCYFWC3THC56,Other MFI,Mangold Fondkommission AB,Nybrogatan 55,,114 40,Stockholm
73,PRID,2006.0,SE122 Södermanland,11150,516406-0807,549300OWBDK3ZWOL2C57,Bank,Marginalen Bank Bankaktiebolag,Adolf Fredriks Kyrkogata 8,,111 37,Stockholm
74,PRID,2006.0,SE122 Södermanland,12230,529000-8506,549300RZMBW0FG7IXL55,Bank,Markaryds sparbank,Drottninggatan 5,,285 31,Markaryd
75,PRID,2006.0,SE122 Södermanland,41528,556091-5018,5493008S5MN0S6ASBL22,Bank,MedMera Bank Aktiebolag,Englundavägen 4,,171 41,Solna
76,PRID,2006.0,SE122 Södermanland,12339,565000-6520,549300R35MLWJ04FCZ07,Bank,Mjöbäcks Sparbank,Lidavägen 1,,512 60,Överlida
77,PRID,2006.0,SE122 Södermanland,44050,559000-0237,6367005S8FJE5JFL6R45,Finance company,Moank AB,,Box 3652,103 59,Stockholm
78,PRID,2006.0,SE122 Södermanland,82814,559100-8874,,Other MFI,Mynt AB,Vasagatan 28,,111 20,Stockholm
79,PRID,2006.0,SE122 Södermanland,46330,516406-1151,,Bank,NatWest Markets N.V. Bankfilial Sverige,Strandvägen 1,,104 40,Stockholm
80,PRID,2006.0,SE122 Södermanland,41519,556647-7286,21380057HUGFEAF25W84,Bank,NOBA Bank Group AB (publ),Gävlegatan 22,,113 30,Stockholm
