workbook_row_index,observed_block_code,global_year,global_county,source_column,period_year,period_label,value_raw,value_numeric
30,TD,2006.0,SE122 Södermanland,td__2023,2023.0,2023,34394.0,34394.0
31,TD,2006.0,SE122 Södermanland,td__2023,2023.0,2023,22069.0,22069.0
32,TD,2006.0,SE122 Södermanland,td__2023,2023.0,2023,7936.0,7936.0
33,TD,2006.0,SE122 Södermanland,td__2023,2023.0,2023,6742.0,6742.0
34,TD,2006.0,SE122 Södermanland,td__2023,2023.0,2023,5986.0,5986.0
35,TD,2006.0,SE122 Södermanland,td__2023,2023.0,2023,-13044.0,-13044.0
36,TD,2006.0,SE122 Södermanland,td__2023,2023.0,2023,19030.0,19030.0
37,TD,2006.0,SE122 Södermanland,td__2023,2023.0,2023,2562107.0,2.562107e+06
38,TD,2006.0,SE122 Södermanland,td__2023,2023.0,2023,7936.0,7936.0
39,TD,2006.0,SE122 Södermanland,td__2023,2023.0,2023,2554171.0,2.554171e+06
