seed,experiment,entity_id,entity_code,entity_name,test_year_count,entity_test_mse,entity_test_mae,k_star,omega_peak,omega_1,omega_2,omega_3,proxy_income_level_true,proxy_income_level_pred,proxy_income_recent_level_true,proxy_income_recent_level_pred,proxy_income_growth_signal_true,proxy_income_growth_signal_pred
1,fullspan_income_k3_cmdl_seed1,3,SE123,Östergötland,3,1.1615213446870694,1.045192003250122,1.5274444818496704,1,0.7099042534828186,0.0527467243373394,0.23734892904758453,-0.4559425711631775,0.34797394275665283,-0.3133467733860016,0.425618052482605,0.49542251229286194,0.5857135057449341
1,fullspan_income_k3_cmdl_seed1,4,SE124,Örebro,3,1.5963093763409784,1.2400541305541992,1.4806814193725586,1,0.7335334420204163,0.052251555025577545,0.21421495079994202,-0.07100757211446762,-0.341361403465271,-0.18100029230117798,-0.4175299406051636,-0.43909889459609985,-0.5745830535888672
1,fullspan_income_k3_cmdl_seed1,5,SE125,Västmanland,3,1.7985208781975455,1.322904348373413,1.4850983619689941,1,0.7313048839569092,0.05229182168841362,0.2164033055305481,0.16785933077335358,-0.27233433723449707,-0.024768412113189697,-0.33310067653656006,-0.7913863062858582,-0.45839595794677734
1,fullspan_income_k3_cmdl_seed1,6,SE211,Jönköping,3,1.7130906443729639,1.2841665744781494,1.5503029823303223,1,0.6983302235603333,0.05303648114204407,0.2486332803964615,0.8547183871269226,0.6564579010009766,0.8996255993843079,0.8029346466064453,0.7994425296783447,1.1049569845199585
1,fullspan_income_k3_cmdl_seed1,7,SE212,Kronoberg,3,1.8723509259085063,1.3476571242014568,1.4674466848373413,1,0.7402064800262451,0.052140433341264725,0.20765310525894165,-0.12300660461187363,-0.5538897514343262,-0.2900635600090027,-0.6774802207946777,-0.8802432417869568,-0.9323129653930664
1,fullspan_income_k3_cmdl_seed1,8,SE213,Kalmar,3,1.2012561046621972,1.0705619653065999,1.5307676792144775,1,0.7082226276397705,0.052787117660045624,0.23899024724960327,-0.3665507435798645,0.3938436508178711,-0.16980896890163422,0.48172277212142944,0.8647927641868591,0.6629219055175781
1,fullspan_income_k3_cmdl_seed1,9,SE214,Gotland,3,1.5394533131074202,1.222563664118449,1.4787410497665405,1,0.7345123291015625,0.05223437398672104,0.21325331926345825,-1.953405499458313,-0.37197911739349365,-1.7984977960586548,-0.45497941970825195,-0.3196624517440796,-0.6261191368103027
1,fullspan_income_k3_cmdl_seed1,10,SE221,Blekinge,3,1.9658364086305606,1.3861886262893677,1.4473503828048706,1,0.7503237724304199,0.05200183019042015,0.19767431914806366,-0.8427590131759644,-0.8946958780288696,-0.9457042217254639,-1.0943310260772705,-1.3352458477020264,-1.5059614181518555
1,fullspan_income_k3_cmdl_seed1,11,SE224,Skåne,3,1.3602182326363323,1.1450903018315632,1.5321389436721802,1,0.7075285315513611,0.05280395224690437,0.23966749012470245,-1.003313660621643,0.4126679301261902,-0.7420020699501038,0.5047473907470703,0.4868941009044647,0.6946072578430176
1,fullspan_income_k3_cmdl_seed1,12,SE231,Halland,3,1.9294306693469139,1.3654639720916748,1.5416936874389648,1,0.7026910781860352,0.05292414501309395,0.2443847507238388,1.0436242818832397,0.5421580076217651,1.1576299667358398,0.6631308794021606,1.582605004310608,0.9125663042068481
