column_index,flattened_name,first_level,second_level,observed_block_code,mapped_variable_code,is_global_key,is_year_like_subcolumn,period_year,period_label,codebook_match
678,rpcyd__unnamed_678_level_1,RPCYD,Unnamed: 678_level_1,RPCYD,RPCYD,False,False,,,True
679,rpcyd__unnamed_679_level_1,RPCYD,Unnamed: 679_level_1,RPCYD,RPCYD,False,False,,,True
680,rpcyd__mean_income_sek_thousands_2__dup2,RPCYD,"Mean income, SEK thousands.2",RPCYD,RPCYD,False,False,,,True
681,rpcyd__unnamed_681_level_1,RPCYD,Unnamed: 681_level_1,RPCYD,RPCYD,False,False,,,True
682,rpcyd__median_income_sek_thousands_2,RPCYD,"Median income, SEK thousands.2",RPCYD,RPCYD,False,False,,,True
683,rpcyd__unnamed_683_level_1,RPCYD,Unnamed: 683_level_1,RPCYD,RPCYD,False,False,,,True
684,rpcyd__total_sum_sek_millions_2,RPCYD,"Total sum, SEK millions.2",RPCYD,RPCYD,False,False,,,True
685,rpcyd__unnamed_685_level_1,RPCYD,Unnamed: 685_level_1,RPCYD,RPCYD,False,False,,,True
686,rpcyd__number_of_persons_5,RPCYD,Number of persons.5,RPCYD,RPCYD,False,False,,,True
687,rpcyd__unnamed_687_level_1,RPCYD,Unnamed: 687_level_1,RPCYD,RPCYD,False,False,,,True
688,rpcyd__unnamed_688_level_1,RPCYD,Unnamed: 688_level_1,RPCYD,RPCYD,False,False,,,True
689,rpcyd__unnamed_689_level_1,RPCYD,Unnamed: 689_level_1,RPCYD,RPCYD,False,False,,,True
690,rpcyd__unnamed_690_level_1,RPCYD,Unnamed: 690_level_1,RPCYD,RPCYD,False,False,,,True
691,rpcyd__unnamed_691_level_1,RPCYD,Unnamed: 691_level_1,RPCYD,RPCYD,False,False,,,True
692,rpcyd__unnamed_692_level_1,RPCYD,Unnamed: 692_level_1,RPCYD,RPCYD,False,False,,,True
693,rpcyd__2021__dup2,RPCYD,2021,RPCYD,RPCYD,False,True,2021.0,2021,True
694,rpcyd__2022__dup2,RPCYD,2022,RPCYD,RPCYD,False,True,2022.0,2022,True
695,rpcyd__unnamed_695_level_1,RPCYD,Unnamed: 695_level_1,RPCYD,RPCYD,False,False,,,True
696,rpcyd__unnamed_696_level_1,RPCYD,Unnamed: 696_level_1,RPCYD,RPCYD,False,False,,,True
697,rpcyd__unnamed_697_level_1,RPCYD,Unnamed: 697_level_1,RPCYD,RPCYD,False,False,,,True
698,rpcyd__unnamed_698_level_1,RPCYD,Unnamed: 698_level_1,RPCYD,RPCYD,False,False,,,True
699,rpcyd__unnamed_699_level_1,RPCYD,Unnamed: 699_level_1,RPCYD,RPCYD,False,False,,,True
700,rpcyd__2023__dup2,RPCYD,2023,RPCYD,RPCYD,False,True,2023.0,2023,True
701,rpcyd__unnamed_701_level_1,RPCYD,Unnamed: 701_level_1,RPCYD,RPCYD,False,False,,,True
702,rpcyd__unnamed_702_level_1,RPCYD,Unnamed: 702_level_1,RPCYD,RPCYD,False,False,,,True
703,rpcyd__unnamed_703_level_1,RPCYD,Unnamed: 703_level_1,RPCYD,RPCYD,False,False,,,True
704,rpcyd__unnamed_704_level_1,RPCYD,Unnamed: 704_level_1,RPCYD,RPCYD,False,False,,,True
705,rpcyd__unnamed_705_level_1,RPCYD,Unnamed: 705_level_1,RPCYD,RPCYD,False,False,,,True
706,rpcyd__2019__dup2,RPCYD,2019,RPCYD,RPCYD,False,True,2019.0,2019,True
707,rpcyd__2020__dup2,RPCYD,2020,RPCYD,RPCYD,False,True,2020.0,2020,True
708,rpcyd__unnamed_708_level_1,RPCYD,Unnamed: 708_level_1,RPCYD,RPCYD,False,False,,,True
709,rpcyd__unnamed_709_level_1,RPCYD,Unnamed: 709_level_1,RPCYD,RPCYD,False,False,,,True
710,rpcyd__unnamed_710_level_1,RPCYD,Unnamed: 710_level_1,RPCYD,RPCYD,False,False,,,True
711,rpcyd__unnamed_711_level_1,RPCYD,Unnamed: 711_level_1,RPCYD,RPCYD,False,False,,,True
712,rpcyd__unnamed_712_level_1,RPCYD,Unnamed: 712_level_1,RPCYD,RPCYD,False,False,,,True
713,rpcyd__2019_1,RPCYD,2019.1,RPCYD,RPCYD,False,True,2019.0,2019,True
714,rpcyd__2020_1,RPCYD,2020.1,RPCYD,RPCYD,False,True,2020.0,2020,True
715,rpcyd__unnamed_715_level_1,RPCYD,Unnamed: 715_level_1,RPCYD,RPCYD,False,False,,,True
716,rpcyd__unnamed_716_level_1,RPCYD,Unnamed: 716_level_1,RPCYD,RPCYD,False,False,,,True
717,rpcyd__unnamed_717_level_1,RPCYD,Unnamed: 717_level_1,RPCYD,RPCYD,False,False,,,True
718,rpcyd__unnamed_718_level_1,RPCYD,Unnamed: 718_level_1,RPCYD,RPCYD,False,False,,,True
719,rpcyd__unnamed_719_level_1,RPCYD,Unnamed: 719_level_1,RPCYD,RPCYD,False,False,,,True
720,rpcyd__2021_1,RPCYD,2021.1,RPCYD,RPCYD,False,True,2021.0,2021,True
721,rpcyd__2022_1,RPCYD,2022.1,RPCYD,RPCYD,False,True,2022.0,2022,True
722,rpcyd__unnamed_722_level_1,RPCYD,Unnamed: 722_level_1,RPCYD,RPCYD,False,False,,,True
723,rpcyd__unnamed_723_level_1,RPCYD,Unnamed: 723_level_1,RPCYD,RPCYD,False,False,,,True
724,rpcyd__unnamed_724_level_1,RPCYD,Unnamed: 724_level_1,RPCYD,RPCYD,False,False,,,True
725,rpcyd__unnamed_725_level_1,RPCYD,Unnamed: 725_level_1,RPCYD,RPCYD,False,False,,,True
